,precision,recall,f1-score,support
Low,0.8269230769230769,1.0,0.9052631578947369,387.0
Medium,1.0,0.359375,0.5287356321839081,192.0
High,0.9092872570194385,1.0,0.9524886877828054,421.0
accuracy,0.877,0.877,0.877,0.877
macro avg,0.9120701113141717,0.7864583333333334,0.7954958259538168,1000.0
weighted avg,0.8948291659744143,0.877,0.8528518210411346,1000.0
