,precision,recall,f1-score,support
Negative,0.8625892928806486,0.85976,0.8611723226090789,12500.0
Positive,0.8602184833745316,0.86304,0.8616269318317958,12500.0
accuracy,0.8614,0.8614,0.8614,0.8614
macro avg,0.8614038881275901,0.8613999999999999,0.8613996272204374,25000.0
weighted avg,0.8614038881275901,0.8614,0.8613996272204374,25000.0
